No,transaction,price,age,mrt,con,lat,long
53,2013.583,27,32.1,1438.579,3,24.97419,121.5175
54,2013.083,38.9,13.3,492.2313,5,24.96515,121.53737
55,2013.083,51.7,16.1,289.3248,5,24.98203,121.54348
56,2012.833,13.7,31.7,1160.632,0,24.94968,121.53009
57,2013.417,41.9,33.6,371.2495,8,24.97254,121.54059
58,2012.917,53.5,3.5,56.47425,7,24.95744,121.53711
59,2013.5,22.6,30.3,4510.359,1,24.94925,121.49542
60,2013.083,42.4,13.3,336.0532,5,24.95776,121.53438
61,2013.417,21.3,11,1931.207,2,24.96365,121.51471
62,2013.5,63.2,5.3,259.6607,6,24.97585,121.54516
63,2012.917,27.7,17.2,2175.877,3,24.96303,121.51254
64,2013.583,55,2.6,533.4762,4,24.97445,121.54765
65,2013.333,25.3,17.5,995.7554,0,24.96305,121.54915
66,2013.417,44.3,40.1,123.7429,8,24.97635,121.54329
67,2013,50.7,1,193.5845,6,24.96571,121.54089
68,2013.5,56.8,8.5,104.8101,5,24.96674,121.54067
69,2013.417,36.2,30.4,464.223,6,24.97964,121.53805
70,2012.833,42,12.5,561.9845,5,24.98746,121.54391
71,2013.583,59,6.6,90.45606,9,24.97433,121.5431
72,2013.083,40.8,35.5,640.7391,3,24.97563,121.53715
73,2013.583,36.3,32.5,424.5442,8,24.97587,121.53913
74,2013.167,20,13.8,4082.015,0,24.94155,121.50381
75,2012.917,54.4,6.8,379.5575,10,24.98343,121.53762
76,2013.5,29.5,12.3,1360.139,1,24.95204,121.54842
77,2013.583,36.8,35.9,616.4004,3,24.97723,121.53767
78,2012.833,25.6,20.5,2185.128,3,24.96322,121.51237
79,2012.917,29.8,38.2,552.4371,2,24.97598,121.53381
80,2013,26.5,18,1414.837,1,24.95182,121.54887
81,2013.5,40.3,11.8,533.4762,4,24.97445,121.54765
82,2013,36.8,30.8,377.7956,6,24.96427,121.53964
83,2013.083,48.1,13.2,150.9347,7,24.96725,121.54252
84,2012.917,17.7,25.3,2707.392,3,24.96056,121.50831
85,2013.083,43.7,15.1,383.2805,7,24.96735,121.54464
86,2012.75,50.8,0,338.9679,9,24.96853,121.54413
87,2012.833,27,1.8,1455.798,1,24.9512,121.549
88,2013.583,18.3,16.9,4066.587,0,24.94297,121.50342
89,2012.917,48,8.9,1406.43,0,24.98573,121.52758
90,2013.5,25.3,23,3947.945,0,24.94783,121.50243
91,2012.833,45.4,0,274.0144,1,24.9748,121.53059
92,2013.25,43.2,9.1,1402.016,0,24.98569,121.5276
93,2012.917,21.8,20.6,2469.645,4,24.96108,121.51046
94,2012.917,16.1,31.9,1146.329,0,24.9492,121.53076
95,2012.917,41,40.9,167.5989,5,24.9663,121.54026
96,2012.917,51.8,8,104.8101,5,24.96674,121.54067
97,2013.417,59.5,6.4,90.45606,9,24.97433,121.5431
98,2013.083,34.6,28.4,617.4424,3,24.97746,121.53299
99,2013.417,51,16.4,289.3248,5,24.98203,121.54348
100,2013.417,62.2,6.4,90.45606,9,24.97433,121.5431
101,2013.5,38.2,17.5,964.7496,4,24.98872,121.53411
102,2012.833,32.9,12.7,170.1289,1,24.97371,121.52984
103,2013.083,54.4,1.1,193.5845,6,24.96571,121.54089
104,2012.75,45.7,0,208.3905,6,24.95618,121.53844
105,2012.667,30.5,32.7,392.4459,6,24.96398,121.5425
106,2012.833,71,0,292.9978,6,24.97744,121.54458
107,2013.083,47.1,17.2,189.5181,8,24.97707,121.54308
108,2013.333,26.6,12.2,1360.139,1,24.95204,121.54842
109,2013.417,34.1,31.4,592.5006,2,24.9726,121.53561
110,2013.583,28.4,4,2147.376,3,24.96299,121.51284
111,2013.083,51.6,8.1,104.8101,5,24.96674,121.54067
112,2013.583,39.4,33.3,196.6172,7,24.97701,121.54224
113,2013.417,23.1,9.9,2102.427,3,24.96044,121.51462
114,2013.333,7.6,14.8,393.2606,6,24.96172,121.53812
115,2012.667,53.3,30.6,143.8383,8,24.98155,121.54142
116,2013.083,46.4,20.6,737.9161,2,24.98092,121.54739
117,2013,12.2,30.9,6396.283,1,24.94375,121.47883
118,2013,13,13.6,4197.349,0,24.93885,121.50383
119,2013.5,30.6,25.3,1583.722,3,24.96622,121.51709
120,2013.5,59.6,16.6,289.3248,5,24.98203,121.54348
121,2013.167,31.3,13.3,492.2313,5,24.96515,121.53737
122,2013.5,48,13.6,492.2313,5,24.96515,121.53737
123,2013.25,32.5,31.5,414.9476,4,24.98199,121.54464
124,2013.417,45.5,0,185.4296,0,24.9711,121.5317
125,2012.917,57.4,9.9,279.1726,7,24.97528,121.54541
126,2013.167,48.6,1.1,193.5845,6,24.96571,121.54089
127,2013.083,62.9,38.6,804.6897,4,24.97838,121.53477
128,2013.25,55,3.8,383.8624,5,24.98085,121.54391
129,2013.083,60.7,41.3,124.9912,6,24.96674,121.54039
130,2013.417,41,38.5,216.8329,7,24.98086,121.54162
131,2013.25,37.5,29.6,535.527,8,24.98092,121.53653
132,2013.5,30.7,4,2147.376,3,24.96299,121.51284
133,2013.167,37.5,26.6,482.7581,5,24.97433,121.53863
134,2012.833,39.5,18,373.3937,8,24.9866,121.54082
135,2012.667,42.2,33.4,186.9686,6,24.96604,121.54211
136,2012.917,20.8,18.9,1009.235,0,24.96357,121.54951
137,2012.75,46.8,11.4,390.5684,5,24.97937,121.54245
138,2013.5,47.4,13.6,319.0708,6,24.96495,121.54277
139,2013.167,43.5,10,942.4664,0,24.97843,121.52406
140,2012.667,42.5,12.9,492.2313,5,24.96515,121.53737
141,2013.25,51.4,16.2,289.3248,5,24.98203,121.54348
142,2013.333,28.9,5.1,1559.827,3,24.97213,121.51627
143,2013.417,37.5,19.8,640.6071,5,24.97017,121.54647
144,2013.5,40.1,13.6,492.2313,5,24.96515,121.53737
145,2013.083,28.4,11.9,1360.139,1,24.95204,121.54842
146,2012.917,45.5,2.1,451.2438,5,24.97563,121.54694
147,2012.75,52.2,0,185.4296,0,24.9711,121.5317
148,2012.75,43.2,3.2,489.8821,8,24.97017,121.54494
149,2013.5,45.1,16.4,3780.59,0,24.93293,121.51203
150,2012.667,39.7,34.9,179.4538,8,24.97349,121.54245
151,2013.25,48.5,35.8,170.7311,7,24.96719,121.54269
152,2013.5,44.7,4.9,387.7721,9,24.98118,121.53788
153,2013.333,28.9,12,1360.139,1,24.95204,121.54842
154,2013.25,40.9,6.5,376.1709,6,24.95418,121.53713
155,2013.5,20.7,16.9,4066.587,0,24.94297,121.50342
156,2013.167,15.6,13.8,4082.015,0,24.94155,121.50381
157,2013.583,18.3,30.7,1264.73,0,24.94883,121.52954
158,2013.25,35.6,16.1,815.9314,4,24.97886,121.53464
159,2013,39.4,11.6,390.5684,5,24.97937,121.54245
160,2012.667,37.4,15.5,815.9314,4,24.97886,121.53464
161,2012.917,57.8,3.5,49.66105,8,24.95836,121.53756
162,2013.417,39.6,19.2,616.4004,3,24.97723,121.53767
163,2012.75,11.6,16,4066.587,0,24.94297,121.50342
164,2013.5,55.5,8.5,104.8101,5,24.96674,121.54067
165,2012.833,55.2,0,185.4296,0,24.9711,121.5317
166,2012.917,30.6,13.7,1236.564,1,24.97694,121.55391
167,2013.417,73.6,0,292.9978,6,24.97744,121.54458
168,2013.417,43.4,28.2,330.0854,8,24.97408,121.54011
169,2013.083,37.4,27.6,515.1122,5,24.96299,121.5432
170,2013.417,23.5,8.4,1962.628,1,24.95468,121.55481
171,2013.333,14.4,24,4527.687,0,24.94741,121.49628
172,2013.083,58.8,3.6,383.8624,5,24.98085,121.54391
173,2013.583,58.1,6.6,90.45606,9,24.97433,121.5431
174,2013.083,35.1,41.3,401.8807,4,24.98326,121.5446
175,2013.417,45.2,4.3,432.0385,7,24.9805,121.53778
176,2013.083,36.5,30.2,472.1745,3,24.97005,121.53758
177,2012.833,19.2,13.9,4573.779,0,24.94867,121.49507
178,2013.083,42,33,181.0766,9,24.97697,121.54262
179,2013.5,36.7,13.1,1144.436,4,24.99176,121.53456
180,2013.083,42.6,14,438.8513,1,24.97493,121.5273
181,2012.667,15.5,26.9,4449.27,0,24.94898,121.49621
182,2013.167,55.9,11.6,201.8939,8,24.98489,121.54121
183,2013.5,23.6,13.5,2147.376,3,24.96299,121.51284
184,2013.5,18.8,17,4082.015,0,24.94155,121.50381
185,2012.75,21.8,14.1,2615.465,0,24.95495,121.56174
186,2012.75,21.5,31.4,1447.286,3,24.97285,121.5173
187,2013.167,25.7,20.9,2185.128,3,24.96322,121.51237
188,2013,22,8.9,3078.176,0,24.95464,121.56627
189,2012.917,44.3,34.8,190.0392,8,24.97707,121.54312
190,2012.917,20.5,16.3,4066.587,0,24.94297,121.50342
191,2013.5,42.3,35.3,616.5735,8,24.97945,121.53642
192,2013.167,37.8,13.2,750.0704,2,24.97371,121.54951
193,2013.167,42.7,43.8,57.58945,7,24.9675,121.54069
194,2013.417,49.3,9.7,421.479,5,24.98246,121.54477
195,2013.5,29.3,15.2,3771.895,0,24.93363,121.51158
196,2013.333,34.6,15.2,461.1016,5,24.95425,121.5399
197,2013,36.6,22.8,707.9067,2,24.981,121.54713
198,2013.25,48.2,34.4,126.7286,8,24.96881,121.54089
199,2013.083,39.1,34,157.6052,7,24.96628,121.54196
200,2013.417,31.6,18.2,451.6419,8,24.96945,121.5449
201,2013.417,25.5,17.4,995.7554,0,24.96305,121.54915
202,2013.417,45.9,13.1,561.9845,5,24.98746,121.54391
203,2012.917,31.5,38.3,642.6985,3,24.97559,121.53713
204,2012.667,46.1,15.6,289.3248,5,24.98203,121.54348
205,2013,26.6,18,1414.837,1,24.95182,121.54887
206,2013.083,21.4,12.8,1449.722,3,24.97289,121.51728
207,2013.25,44,22.2,379.5575,10,24.98343,121.53762
208,2013.083,34.2,38.5,665.0636,3,24.97503,121.53692
209,2012.75,26.2,11.5,1360.139,1,24.95204,121.54842
210,2012.833,40.9,34.8,175.6294,8,24.97347,121.54271
211,2013.5,52.2,5.2,390.5684,5,24.97937,121.54245
212,2013.083,43.5,0,274.0144,1,24.9748,121.53059
213,2013.333,31.1,17.6,1805.665,2,24.98672,121.52091
214,2013.083,58,6.2,90.45606,9,24.97433,121.5431
215,2013.583,20.9,18.1,1783.18,3,24.96731,121.51486
216,2013.333,48.1,19.2,383.7129,8,24.972,121.54477
217,2013.25,39.7,37.8,590.9292,1,24.97153,121.53559
218,2012.917,40.8,28,372.6242,6,24.97838,121.54119
219,2013.417,43.8,13.6,492.2313,5,24.96515,121.53737
220,2012.75,40.2,29.3,529.7771,8,24.98102,121.53655
221,2013.333,78.3,37.2,186.5101,9,24.97703,121.54265
222,2013.333,38.5,9,1402.016,0,24.98569,121.5276
223,2013.583,48.5,30.6,431.1114,10,24.98123,121.53743
224,2013.25,42.3,9.1,1402.016,0,24.98569,121.5276
225,2013.333,46,34.5,324.9419,6,24.97814,121.5417
226,2013.25,49,1.1,193.5845,6,24.96571,121.54089
227,2013,12.8,16.5,4082.015,0,24.94155,121.50381
228,2012.917,40.2,32.4,265.0609,8,24.98059,121.53986
229,2013.417,46.6,11.9,3171.329,0,25.00115,121.51776
230,2013.583,19,31,1156.412,0,24.9489,121.53095
231,2013.5,33.4,4,2147.376,3,24.96299,121.51284
232,2012.833,14.7,16.2,4074.736,0,24.94235,121.50357
233,2012.917,17.4,27.1,4412.765,1,24.95032,121.49587
234,2013.333,32.4,39.7,333.3679,9,24.98016,121.53932
235,2013.25,23.9,8,2216.612,4,24.96007,121.51361
236,2012.75,39.3,12.9,250.631,7,24.96606,121.54297
237,2013.167,61.9,3.6,373.8389,10,24.98322,121.53765
238,2013.167,39,13,732.8528,0,24.97668,121.52518
239,2013.083,40.6,12.8,732.8528,0,24.97668,121.52518
240,2013.5,29.7,18.1,837.7233,0,24.96334,121.54767
241,2013.083,28.8,11,1712.632,2,24.96412,121.5167
242,2013.5,41.4,13.7,250.631,7,24.96606,121.54297
243,2012.833,33.4,2,2077.39,3,24.96357,121.51329
244,2013.417,48.2,32.8,204.1705,8,24.98236,121.53923
245,2013.083,21.7,4.8,1559.827,3,24.97213,121.51627
246,2013.417,40.8,7.5,639.6198,5,24.97258,121.54814
247,2013.417,40.6,16.4,389.8219,6,24.96412,121.54273
248,2013.333,23.1,21.7,1055.067,0,24.96211,121.54928
249,2013,22.3,19,1009.235,0,24.96357,121.54951
250,2012.833,15,18,6306.153,1,24.95743,121.47516
251,2013.167,30,39.2,424.7132,7,24.97429,121.53917
252,2012.917,13.8,31.7,1159.454,0,24.9496,121.53018
253,2012.833,52.7,5.9,90.45606,9,24.97433,121.5431
254,2012.667,25.9,30.4,1735.595,2,24.96464,121.51623
255,2012.667,51.8,1.1,329.9747,5,24.98254,121.54395
256,2013.417,17.4,31.5,5512.038,1,24.95095,121.48458
257,2012.667,26.5,14.6,339.2289,1,24.97519,121.53151
258,2013.25,43.9,17.3,444.1334,1,24.97501,121.5273
259,2013.417,63.3,0,292.9978,6,24.97744,121.54458
260,2013.083,28.8,17.7,837.7233,0,24.96334,121.54767
261,2013.25,30.7,17,1485.097,4,24.97073,121.517
262,2013.167,24.4,16.2,2288.011,3,24.95885,121.51359
263,2012.917,53,15.9,289.3248,5,24.98203,121.54348
264,2013.417,31.7,3.9,2147.376,3,24.96299,121.51284
265,2013.167,40.6,32.6,493.657,7,24.96968,121.54522
266,2012.833,38.1,15.7,815.9314,4,24.97886,121.53464
267,2013.25,23.7,17.8,1783.18,3,24.96731,121.51486
268,2012.833,41.1,34.7,482.7581,5,24.97433,121.53863
269,2013.417,40.1,17.2,390.5684,5,24.97937,121.54245
270,2013,23,17.6,837.7233,0,24.96334,121.54767
271,2013.333,117.5,10.8,252.5822,1,24.9746,121.53046
272,2012.917,26.5,17.7,451.6419,8,24.96945,121.5449
273,2012.75,40.5,13,492.2313,5,24.96515,121.53737
274,2013.417,29.3,13.2,170.1289,1,24.97371,121.52984
275,2013.167,41,27.5,394.0173,7,24.97305,121.53994
276,2012.667,49.7,1.5,23.38284,7,24.96772,121.54102
277,2013,34,19.1,461.1016,5,24.95425,121.5399
278,2013.417,27.7,21.2,2185.128,3,24.96322,121.51237
279,2012.75,44,0,208.3905,6,24.95618,121.53844
280,2013.417,31.1,2.6,1554.25,3,24.97026,121.51642
281,2013.25,45.4,2.3,184.3302,6,24.96581,121.54086
282,2013.333,44.8,4.7,387.7721,9,24.98118,121.53788
283,2012.917,25.6,2,1455.798,1,24.9512,121.549
284,2013.417,23.5,33.5,1978.671,2,24.98674,121.51844
285,2012.917,34.4,15,383.2805,7,24.96735,121.54464
286,2013.167,55.3,30.1,718.2937,3,24.97509,121.53644
287,2012.917,56.3,5.9,90.45606,9,24.97433,121.5431
288,2013,32.9,19.2,461.1016,5,24.95425,121.5399
289,2013.583,51,16.6,323.6912,6,24.97841,121.5428
290,2013.333,44.5,13.9,289.3248,5,24.98203,121.54348
291,2013.083,37,37.7,490.3446,0,24.97217,121.53471
292,2012.833,54.4,3.4,56.47425,7,24.95744,121.53711
293,2013.083,24.5,17.5,395.6747,5,24.95674,121.534
294,2012.667,42.5,12.6,383.2805,7,24.96735,121.54464
295,2013.5,38.1,26.4,335.5273,6,24.9796,121.5414
296,2013.167,21.8,18.2,2179.59,3,24.96299,121.51252
297,2012.75,34.1,12.5,1144.436,4,24.99176,121.53456
298,2012.833,28.5,34.9,567.0349,4,24.97003,121.5458
299,2013.333,16.7,16.7,4082.015,0,24.94155,121.50381
300,2013.167,46.1,33.2,121.7262,10,24.98178,121.54059
301,2013.083,36.9,2.5,156.2442,4,24.96696,121.53992
302,2012.75,35.7,38,461.7848,0,24.97229,121.53445
303,2013.5,23.2,16.5,2288.011,3,24.95885,121.51359
304,2013.5,38.4,38.3,439.7105,0,24.97161,121.53423
305,2013.417,29.4,20,1626.083,3,24.96622,121.51668
306,2013.083,55,16.2,289.3248,5,24.98203,121.54348
307,2013.5,50.2,14.4,169.9803,1,24.97369,121.52979
308,2012.833,24.7,10.3,3079.89,0,24.9546,121.56627
309,2013.417,53,16.4,289.3248,5,24.98203,121.54348
310,2013.25,19.1,30.3,1264.73,0,24.94883,121.52954
311,2013.583,24.7,16.4,1643.499,2,24.95394,121.55174
312,2013.167,42.2,21.3,537.7971,4,24.97425,121.53814
313,2013.583,78,35.4,318.5292,9,24.97071,121.54069
314,2013.333,42.8,8.3,104.8101,5,24.96674,121.54067
315,2013.25,41.6,3.7,577.9615,6,24.97201,121.54722
316,2013.083,27.3,15.6,1756.411,2,24.9832,121.51812
317,2013.25,42,13.3,250.631,7,24.96606,121.54297
318,2012.75,37.5,15.6,752.7669,2,24.97795,121.53451
319,2013.333,49.8,7.1,379.5575,10,24.98343,121.53762
320,2013.25,26.9,34.6,272.6783,5,24.95562,121.53872
321,2012.75,18.6,13.5,4197.349,0,24.93885,121.50383
322,2012.917,37.7,16.9,964.7496,4,24.98872,121.53411
323,2013,33.1,12.9,187.4823,1,24.97388,121.52981
324,2013.417,42.5,28.6,197.1338,6,24.97631,121.54436
325,2012.667,31.3,12.4,1712.632,2,24.96412,121.5167
326,2013.083,38.1,36.6,488.8193,8,24.97015,121.54494
327,2013.5,62.1,4.1,56.47425,7,24.95744,121.53711
328,2013.417,36.7,3.5,757.3377,3,24.97538,121.54971
329,2012.833,23.6,15.9,1497.713,3,24.97003,121.51696
330,2013,19.2,13.6,4197.349,0,24.93885,121.50383
331,2013.083,12.8,32,1156.777,0,24.94935,121.53046
332,2013.333,15.6,25.6,4519.69,0,24.94826,121.49587
333,2013.167,39.6,39.8,617.7134,2,24.97577,121.53475
334,2012.75,38.4,7.8,104.8101,5,24.96674,121.54067
335,2012.917,22.8,30,1013.341,5,24.99006,121.5346
336,2013.583,36.5,27.3,337.6016,6,24.96431,121.54063
337,2012.833,35.6,5.1,1867.233,2,24.98407,121.51748
338,2012.833,30.9,31.3,600.8604,5,24.96871,121.54651
339,2012.917,36.3,31.5,258.186,9,24.96867,121.54331
340,2013.333,50.4,1.7,329.9747,5,24.98254,121.54395
341,2013.333,42.9,33.6,270.8895,0,24.97281,121.53265
342,2013,37,13,750.0704,2,24.97371,121.54951
343,2012.667,53.5,5.7,90.45606,9,24.97433,121.5431
344,2013,46.6,33.5,563.2854,8,24.98223,121.53597
345,2013.5,41.2,34.6,3085.17,0,24.998,121.5155
346,2012.667,37.9,0,185.4296,0,24.9711,121.5317
347,2013.417,30.8,13.2,1712.632,2,24.96412,121.5167
348,2013.583,11.2,17.4,6488.021,1,24.95719,121.47353
349,2012.833,53.7,4.6,259.6607,6,24.97585,121.54516
350,2012.75,47,7.8,104.8101,5,24.96674,121.54067
351,2013,42.3,13.2,492.2313,5,24.96515,121.53737
352,2012.833,28.6,4,2180.245,3,24.96324,121.51241
353,2012.833,25.7,18.4,2674.961,3,24.96143,121.50827
354,2013.5,31.3,4.1,2147.376,3,24.96299,121.51284
355,2013.417,30.1,12.2,1360.139,1,24.95204,121.54842
356,2013.25,60.7,3.8,383.8624,5,24.98085,121.54391
357,2012.833,45.3,10.3,211.4473,1,24.97417,121.52999
358,2013.417,44.9,0,338.9679,9,24.96853,121.54413
359,2013.167,45.1,1.1,193.5845,6,24.96571,121.54089
360,2013.5,24.7,5.6,2408.993,0,24.95505,121.55964
361,2012.667,47.1,32.9,87.30222,10,24.983,121.54022
362,2013.083,63.3,41.4,281.205,8,24.97345,121.54093
363,2013.417,40,17.1,967.4,4,24.98872,121.53408
364,2013.5,48,32.3,109.9455,10,24.98182,121.54086
365,2013.417,33.1,35.3,614.1394,7,24.97913,121.53666
366,2012.917,29.5,17.3,2261.432,4,24.96182,121.51222
367,2012.75,24.8,14.2,1801.544,1,24.95153,121.55254
368,2012.833,20.9,15,1828.319,2,24.96464,121.51531
369,2013.417,43.1,18.2,350.8515,1,24.97544,121.53119
370,2012.667,22.8,20.2,2185.128,3,24.96322,121.51237
371,2012.75,42.1,15.9,289.3248,5,24.98203,121.54348
372,2013.5,51.7,4.1,312.8963,5,24.95591,121.53956
373,2013,41.5,33.9,157.6052,7,24.96628,121.54196
374,2013.083,52.2,0,274.0144,1,24.9748,121.53059
375,2013.25,49.5,5.4,390.5684,5,24.97937,121.54245
376,2013.25,23.8,21.7,1157.988,0,24.96165,121.55011
377,2013.417,30.5,14.7,1717.193,2,24.96447,121.51649
378,2013.333,56.8,3.9,49.66105,8,24.95836,121.53756
379,2013.333,37.4,37.3,587.8877,8,24.97077,121.54634
380,2013.333,69.7,0,292.9978,6,24.97744,121.54458
381,2013.333,53.3,14.1,289.3248,5,24.98203,121.54348
382,2013.417,47.3,8,132.5469,9,24.98298,121.53981
383,2013,29.3,16.3,3529.564,0,24.93207,121.51597
384,2012.667,40.3,29.1,506.1144,4,24.97845,121.53889
385,2012.75,12.9,16.1,4066.587,0,24.94297,121.50342
386,2013,46.6,18.3,82.88643,10,24.983,121.54026
387,2012.833,55.3,0,185.4296,0,24.9711,121.5317
388,2013.25,25.6,16.2,2103.555,3,24.96042,121.51462
389,2013.5,27.3,10.4,2251.938,4,24.95957,121.51353
390,2013.25,67.7,40.9,122.3619,8,24.96756,121.5423
391,2013.5,38.6,32.8,377.8302,9,24.97151,121.5435
392,2013.583,31.3,6.2,1939.749,1,24.95155,121.55387
393,2013.083,35.3,42.7,443.802,6,24.97927,121.53874
394,2013,40.3,16.9,967.4,4,24.98872,121.53408
395,2013.5,24.7,32.6,4136.271,1,24.95544,121.4963
396,2012.917,42.5,21.2,512.5487,4,24.974,121.53842
397,2012.667,31.9,37.1,918.6357,1,24.97198,121.55063
398,2013.417,32.2,13.1,1164.838,4,24.99156,121.53406
399,2013.417,23,14.7,1717.193,2,24.96447,121.51649
400,2012.917,37.3,12.7,170.1289,1,24.97371,121.52984
401,2013.25,35.5,26.8,482.7581,5,24.97433,121.53863
402,2013.083,27.7,7.6,2175.03,3,24.96305,121.51254
403,2012.833,28.5,12.7,187.4823,1,24.97388,121.52981
404,2012.667,39.7,30.9,161.942,9,24.98353,121.53966
405,2013.333,41.2,16.4,289.3248,5,24.98203,121.54348
406,2012.667,37.2,23,130.9945,6,24.95663,121.53765
407,2013.167,40.5,1.9,372.1386,7,24.97293,121.54026
408,2013,22.3,5.2,2408.993,0,24.95505,121.55964
409,2013.417,28.1,18.5,2175.744,3,24.9633,121.51243
410,2013,15.4,13.7,4082.015,0,24.94155,121.50381
411,2012.667,50,5.6,90.45606,9,24.97433,121.5431
412,2013.25,40.6,18.8,390.9696,7,24.97923,121.53986
413,2013,52.5,8.1,104.8101,5,24.96674,121.54067
414,2013.5,63.9,6.5,90.45606,9,24.97433,121.5431
