"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"80",2013,1,1,1814,1700,74,2051,1855,116,"EV",4202,"N19966","EWR","STL",177,872,17,0,2013-01-01 17:00:00
"81",2013,1,1,1817,1820,-3,2008,2005,3,"AA",353,"N3AXAA","LGA","ORD",138,733,18,20,2013-01-01 18:00:00
"82",2013,1,1,1820,1820,0,2216,2150,26,"AA",119,"N3FMAA","EWR","LAX",366,2454,18,20,2013-01-01 18:00:00
"83",2013,1,1,1834,1840,-6,2027,2020,7,"MQ",3730,"N517MQ","EWR","ORD",137,719,18,40,2013-01-01 18:00:00
"84",2013,1,1,1834,1800,34,2014,1942,32,"UA",668,"N467UA","LGA","ORD",123,733,18,0,2013-01-01 18:00:00
"85",2013,1,1,1843,1850,-7,2052,2050,2,"AA",2019,"N594AA","LGA","STL",169,888,18,50,2013-01-01 18:00:00
"86",2013,1,1,1856,1645,131,2212,2005,127,"AA",181,"N323AA","JFK","LAX",336,2475,16,45,2013-01-01 16:00:00
"87",2013,1,1,1910,1910,0,2126,2107,19,"9E",3359,"N925XJ","JFK","ORD",141,740,19,10,2013-01-01 19:00:00
"88",2013,1,1,1916,1920,-4,2053,2100,-7,"AA",359,"N3CUAA","LGA","ORD",136,733,19,20,2013-01-01 19:00:00
"89",2013,1,1,1925,1900,25,2259,2238,21,"DL",87,"N624AG","JFK","LAX",332,2475,19,0,2013-01-01 19:00:00
"90",2013,1,1,1937,1905,32,2250,2225,25,"AA",21,"N327AA","JFK","LAX",332,2475,19,5,2013-01-01 19:00:00
"91",2013,1,1,1952,2000,-8,2314,2325,-11,"VX",415,"N640VA","JFK","LAX",349,2475,20,0,2013-01-01 20:00:00
"92",2013,1,1,2006,2000,6,2132,2130,2,"UA",1271,"N12218","LGA","ORD",126,733,20,0,2013-01-01 20:00:00
"93",2013,1,1,2030,2045,-15,2150,2225,-35,"AA",371,"N545AA","LGA","ORD",126,733,20,45,2013-01-01 20:00:00
"94",2013,1,1,2035,2030,5,2337,5,-28,"UA",1482,"N38268","EWR","LAX",333,2454,20,30,2013-01-01 20:00:00
"95",2013,1,1,2057,2100,-3,2237,2220,17,"MQ",3744,"N521MQ","EWR","ORD",133,719,21,0,2013-01-01 21:00:00
"96",2013,1,1,2107,2040,27,2354,2359,-5,"B6",677,"N779JB","JFK","LAX",323,2475,20,40,2013-01-01 20:00:00
"97",2013,1,1,2128,2135,-7,26,50,-24,"AA",185,"N338AA","JFK","LAX",338,2475,21,35,2013-01-01 21:00:00
"98",2013,1,2,600,600,0,747,735,12,"UA",1280,"N62631","LGA","ORD",125,733,6,0,2013-01-02 06:00:00
"99",2013,1,2,603,600,3,733,745,-12,"AA",301,"N3CRAA","LGA","ORD",118,733,6,0,2013-01-02 06:00:00
"100",2013,1,2,603,559,4,912,916,-4,"UA",1676,"N17229","EWR","LAX",341,2454,5,59,2013-01-02 05:00:00
"101",2013,1,2,616,600,16,1001,917,44,"UA",1141,"N19141","JFK","LAX",354,2475,6,0,2013-01-02 06:00:00
"102",2013,1,2,632,630,2,941,940,1,"UA",387,"N521UA","EWR","LAX",325,2454,6,30,2013-01-02 06:00:00
"103",2013,1,2,634,630,4,806,810,-4,"AA",303,"N3DYAA","LGA","ORD",123,733,6,30,2013-01-02 06:00:00
"104",2013,1,2,655,700,-5,1031,1034,-3,"DL",763,"N705TW","JFK","LAX",317,2475,7,0,2013-01-02 07:00:00
"105",2013,1,2,659,700,-1,959,1025,-26,"VX",399,"N626VA","JFK","LAX",330,2475,7,0,2013-01-02 07:00:00
"106",2013,1,2,700,700,0,851,850,1,"AA",305,"N436AA","LGA","ORD",122,733,7,0,2013-01-02 07:00:00
"107",2013,1,2,705,710,-5,827,850,-23,"MQ",3737,"N512MQ","EWR","ORD",115,719,7,10,2013-01-02 07:00:00
"108",2013,1,2,709,700,9,1006,1014,-8,"B6",671,"N583JB","JFK","LAX",327,2475,7,0,2013-01-02 07:00:00
"109",2013,1,2,712,700,12,844,832,12,"UA",1223,"N76254","LGA","ORD",127,733,7,0,2013-01-02 07:00:00
"110",2013,1,2,720,600,80,905,735,90,"MQ",3768,"N520MQ","EWR","ORD",112,719,6,0,2013-01-02 06:00:00
"111",2013,1,2,723,713,10,846,849,-3,"UA",393,"N529UA","EWR","ORD",114,719,7,13,2013-01-02 07:00:00
"112",2013,1,2,732,730,2,1105,1100,5,"AA",33,"N322AA","JFK","LAX",351,2475,7,30,2013-01-02 07:00:00
"113",2013,1,2,738,745,-7,926,930,-4,"AA",309,"N528AA","LGA","ORD",121,733,7,45,2013-01-02 07:00:00
"114",2013,1,2,817,820,-3,1015,1007,8,"9E",3521,"N931XJ","JFK","ORD",143,740,8,20,2013-01-02 08:00:00
"115",2013,1,2,822,823,-1,1142,1143,-1,"UA",1067,"N73259","EWR","LAX",343,2454,8,23,2013-01-02 08:00:00
"116",2013,1,2,825,830,-5,952,1015,-23,"AA",313,"N593AA","LGA","ORD",118,733,8,30,2013-01-02 08:00:00
"117",2013,1,2,826,830,-4,1012,1025,-13,"AA",1855,"N569AA","LGA","STL",146,888,8,30,2013-01-02 08:00:00
"118",2013,1,2,828,830,-2,1021,1012,9,"B6",905,"N281JB","JFK","ORD",138,740,8,30,2013-01-02 08:00:00
"119",2013,1,2,829,830,-1,1154,1200,-6,"UA",572,"N525UA","JFK","LAX",340,2475,8,30,2013-01-02 08:00:00
"120",2013,1,2,833,558,155,1018,727,171,"UA",651,"N448UA","EWR","ORD",129,719,5,58,2013-01-02 05:00:00
"121",2013,1,2,855,900,-5,1225,1220,5,"AA",1,"N336AA","JFK","LAX",336,2475,9,0,2013-01-02 09:00:00
"122",2013,1,2,857,900,-3,1130,1227,-57,"DL",120,"N710TW","JFK","LAX",310,2475,9,0,2013-01-02 09:00:00
"123",2013,1,2,859,857,2,1205,1217,-12,"UA",222,"N577UA","EWR","LAX",330,2454,8,57,2013-01-02 08:00:00
"124",2013,1,2,901,903,-2,1016,1045,-29,"UA",235,"N451UA","EWR","ORD",107,719,9,3,2013-01-02 09:00:00
"125",2013,1,2,903,900,3,1218,1225,-7,"VX",407,"N624VA","JFK","LAX",338,2475,9,0,2013-01-02 09:00:00
"126",2013,1,2,945,945,0,1113,1130,-17,"AA",319,"N545AA","LGA","ORD",119,733,9,45,2013-01-02 09:00:00
"127",2013,1,2,958,1000,-2,1211,1148,23,"EV",4681,"N12922","EWR","STL",174,872,10,0,2013-01-02 10:00:00
"128",2013,1,2,1004,945,19,1251,1258,-7,"B6",679,"N706JB","JFK","LAX",326,2475,9,45,2013-01-02 09:00:00
"129",2013,1,2,1014,1010,4,1128,1140,-12,"MQ",3795,"N515MQ","EWR","ORD",112,719,10,10,2013-01-02 10:00:00
"130",2013,1,2,1038,1030,8,1347,1340,7,"AA",19,"N328AA","JFK","LAX",344,2475,10,30,2013-01-02 10:00:00
"131",2013,1,2,1043,1030,13,1156,1202,-6,"UA",375,"N811UA","EWR","ORD",111,719,10,30,2013-01-02 10:00:00
"132",2013,1,2,1110,1030,40,1231,1210,21,"AA",321,"N4UCAA","LGA","ORD",116,733,10,30,2013-01-02 10:00:00
"133",2013,1,2,1124,1125,-1,1315,1305,10,"AA",327,"N3DLAA","LGA","ORD",133,733,11,25,2013-01-02 11:00:00
"134",2013,1,2,1125,1130,-5,1416,1448,-32,"UA",703,"N510UA","JFK","LAX",332,2475,11,30,2013-01-02 11:00:00
"135",2013,1,2,1126,1125,1,1333,1325,8,"WN",316,"N258WN","LGA","STL",162,888,11,25,2013-01-02 11:00:00
"136",2013,1,2,1131,1130,1,1436,1450,-14,"VX",409,"N627VA","JFK","LAX",341,2475,11,30,2013-01-02 11:00:00
"137",2013,1,2,1156,1200,-4,1509,1529,-20,"DL",863,"N624AG","JFK","LAX",348,2475,12,0,2013-01-02 12:00:00
"138",2013,1,2,1200,1145,15,1418,1335,43,"WN",3018,"N364SW","EWR","STL",176,872,11,45,2013-01-02 11:00:00
"139",2013,1,2,1204,1200,4,1511,1510,1,"AA",3,"N319AA","JFK","LAX",341,2475,12,0,2013-01-02 12:00:00
"140",2013,1,2,1213,1220,-7,1421,1415,6,"AA",1757,"N578AA","LGA","STL",172,888,12,20,2013-01-02 12:00:00
"141",2013,1,2,1216,1220,-4,1520,1531,-11,"B6",673,"N796JB","JFK","LAX",337,2475,12,20,2013-01-02 12:00:00
"142",2013,1,2,1217,1220,-3,1334,1350,-16,"MQ",3697,"N510MQ","EWR","ORD",118,719,12,20,2013-01-02 12:00:00
"143",2013,1,2,1258,1259,-1,1437,1438,-1,"UA",1200,"N14118","EWR","ORD",136,719,12,59,2013-01-02 12:00:00
"144",2013,1,2,1305,1300,5,1442,1440,2,"AA",329,"N581AA","LGA","ORD",135,733,13,0,2013-01-02 13:00:00
"145",2013,1,2,1318,1320,-2,1634,1636,-2,"UA",1425,"N12125","EWR","LAX",340,2454,13,20,2013-01-02 13:00:00
"146",2013,1,2,1326,1330,-4,1650,1655,-5,"VX",411,"N635VA","JFK","LAX",361,2475,13,30,2013-01-02 13:00:00
"147",2013,1,2,1341,1320,21,1548,1504,44,"EV",3832,"N12996","EWR","STL",174,872,13,20,2013-01-02 13:00:00
"148",2013,1,2,1341,1345,-4,1648,1705,-17,"AA",117,"N332AA","JFK","LAX",344,2475,13,45,2013-01-02 13:00:00
"149",2013,1,2,1412,1420,-8,1520,1550,-30,"MQ",3728,"N512MQ","EWR","ORD",111,719,14,20,2013-01-02 14:00:00
"150",2013,1,2,1422,1411,11,1609,1550,19,"UA",1187,"N13750","EWR","ORD",135,719,14,11,2013-01-02 14:00:00
"151",2013,1,2,1456,1459,-3,1715,1647,28,"EV",3806,"N11548","EWR","STL",177,872,14,59,2013-01-02 14:00:00
"152",2013,1,2,1458,1455,3,1647,1645,2,"AA",337,"N554AA","LGA","ORD",124,733,14,55,2013-01-02 14:00:00
"153",2013,1,2,1500,1500,0,1811,1837,-26,"DL",1467,"N718TW","JFK","LAX",341,2475,15,0,2013-01-02 15:00:00
"154",2013,1,2,1515,1459,16,1650,1637,13,"UA",1629,"N24715","EWR","ORD",129,719,14,59,2013-01-02 14:00:00
"155",2013,1,2,1518,1530,-12,1713,1725,-12,"AA",2223,"N569AA","LGA","STL",148,888,15,30,2013-01-02 15:00:00
"156",2013,1,2,1519,1516,3,1833,1828,5,"UA",1600,"N14107","EWR","LAX",346,2454,15,16,2013-01-02 15:00:00
"157",2013,1,2,1525,1530,-5,1832,1855,-23,"UA",530,"N532UA","JFK","LAX",341,2475,15,30,2013-01-02 15:00:00
"158",2013,1,2,1542,1540,2,1805,1748,17,"9E",3338,"N933XJ","JFK","ORD",150,740,15,40,2013-01-02 15:00:00
"159",2013,1,2,1550,1550,0,1824,1739,45,"B6",917,"N228JB","JFK","ORD",151,740,15,50,2013-01-02 15:00:00
"160",2013,1,2,1558,1600,-2,1746,1743,3,"UA",1215,"N16732","LGA","ORD",125,733,16,0,2013-01-02 16:00:00
"161",2013,1,2,1617,1610,7,1820,1800,20,"AA",341,"N437AA","LGA","ORD",129,733,16,10,2013-01-02 16:00:00
"162",2013,1,2,1627,1630,-3,1927,1952,-25,"B6",675,"N779JB","JFK","LAX",321,2475,16,30,2013-01-02 16:00:00
"163",2013,1,2,1632,1630,2,1838,1835,3,"WN",864,"N450WN","LGA","STL",152,888,16,30,2013-01-02 16:00:00
"164",2013,1,2,1642,1635,7,1814,1810,4,"MQ",3695,"N523MQ","EWR","ORD",115,719,16,35,2013-01-02 16:00:00
"165",2013,1,2,1655,1655,0,1955,2030,-35,"VX",413,"N841VA","JFK","LAX",330,2475,16,55,2013-01-02 16:00:00
"166",2013,1,2,1658,1700,-2,1857,1850,7,"WN",3358,"N442WN","EWR","STL",159,872,17,0,2013-01-02 17:00:00
"167",2013,1,2,1703,1700,3,1845,1840,5,"UA",627,"N830UA","LGA","ORD",138,733,17,0,2013-01-02 17:00:00
"168",2013,1,2,1713,1700,13,2007,2000,7,"UA",342,"N597UA","EWR","LAX",332,2454,17,0,2013-01-02 17:00:00
"169",2013,1,2,1717,1645,32,2033,2005,28,"AA",181,"N338AA","JFK","LAX",335,2475,16,45,2013-01-02 16:00:00
"170",2013,1,2,1719,1720,-1,1921,1915,6,"AA",1351,"N3CWAA","JFK","ORD",125,740,17,20,2013-01-02 17:00:00
"171",2013,1,2,1724,1725,-1,2116,2105,11,"DL",513,"N712TW","JFK","LAX",381,2475,17,25,2013-01-02 17:00:00
"172",2013,1,2,1737,1720,17,1908,1910,-2,"AA",345,"N598AA","LGA","ORD",127,733,17,20,2013-01-02 17:00:00
"173",2013,1,2,1746,1750,-4,2043,2115,-32,"UA",535,"N512UA","JFK","LAX",325,2475,17,50,2013-01-02 17:00:00
"174",2013,1,2,1748,1716,32,1938,1853,45,"UA",1177,"N87513","EWR","ORD",134,719,17,16,2013-01-02 17:00:00
"175",2013,1,2,1806,1801,5,2140,2137,3,"UA",1209,"N12116","EWR","LAX",341,2454,18,1,2013-01-02 18:00:00
"176",2013,1,2,1808,1800,8,1955,1943,12,"UA",1158,"N76515","LGA","ORD",129,733,18,0,2013-01-02 18:00:00
"177",2013,1,2,1825,1810,15,2022,2003,19,"UA",597,"N808UA","EWR","ORD",137,719,18,10,2013-01-02 18:00:00
"178",2013,1,2,1848,1701,107,2112,1856,136,"EV",4202,"N14953","EWR","STL",176,872,17,1,2013-01-02 17:00:00
"179",2013,1,2,1848,1820,28,2208,2150,18,"AA",119,"N3DNAA","EWR","LAX",349,2454,18,20,2013-01-02 18:00:00
"180",2013,1,2,1849,1850,-1,2038,2050,-12,"AA",2019,"N590AA","LGA","STL",155,888,18,50,2013-01-02 18:00:00
"181",2013,1,2,1851,1840,11,2030,2020,10,"MQ",3730,"N525MQ","EWR","ORD",123,719,18,40,2013-01-02 18:00:00
"182",2013,1,2,1856,1900,-4,2250,2238,12,"DL",87,"N703TW","JFK","LAX",371,2475,19,0,2013-01-02 19:00:00
"183",2013,1,2,1905,1905,0,2216,2225,-9,"AA",21,"N339AA","JFK","LAX",333,2475,19,5,2013-01-02 19:00:00
"184",2013,1,2,1907,1820,47,2037,2005,32,"AA",353,"N3ALAA","LGA","ORD",123,733,18,20,2013-01-02 18:00:00
"185",2013,1,2,1917,1910,7,2139,2107,32,"9E",3359,"N602LR","JFK","ORD",143,740,19,10,2013-01-02 19:00:00
"186",2013,1,2,1954,1920,34,2128,2100,28,"AA",359,"N3DEAA","LGA","ORD",130,733,19,20,2013-01-02 19:00:00
"187",2013,1,2,1958,2000,-2,2303,2325,-22,"VX",415,"N622VA","JFK","LAX",335,2475,20,0,2013-01-02 20:00:00
"188",2013,1,2,2002,2000,2,2152,2128,24,"UA",695,"N503UA","LGA","ORD",137,733,20,0,2013-01-02 20:00:00
"189",2013,1,2,2037,2024,13,2351,2359,-8,"UA",1595,"N26226","EWR","LAX",345,2454,20,24,2013-01-02 20:00:00
"190",2013,1,2,2041,2045,-4,2210,2225,-15,"AA",371,"N487AA","LGA","ORD",126,733,20,45,2013-01-02 20:00:00
"191",2013,1,2,2047,2040,7,2329,2359,-30,"B6",677,"N583JB","JFK","LAX",316,2475,20,40,2013-01-02 20:00:00
"192",2013,1,2,2049,2100,-11,2220,2220,0,"MQ",3744,"N506MQ","EWR","ORD",128,719,21,0,2013-01-02 21:00:00
"193",2013,1,2,2100,2100,0,36,31,5,"DL",2363,"N711ZX","JFK","LAX",367,2475,21,0,2013-01-02 21:00:00
"194",2013,1,2,2134,2135,-1,36,50,-14,"AA",185,"N322AA","JFK","LAX",340,2475,21,35,2013-01-02 21:00:00
"195",2013,1,2,NA,1545,NA,NA,1910,NA,"AA",133,NA,"JFK","LAX",NA,2475,15,45,2013-01-02 15:00:00
"196",2013,1,2,NA,1601,NA,NA,1735,NA,"UA",623,NA,"EWR","ORD",NA,719,16,1,2013-01-02 16:00:00
"197",2013,1,3,555,600,-5,727,735,-8,"MQ",3768,"N526MQ","EWR","ORD",128,719,6,0,2013-01-03 06:00:00
"198",2013,1,3,600,600,0,736,745,-9,"AA",301,"N3ALAA","LGA","ORD",132,733,6,0,2013-01-03 06:00:00
"199",2013,1,3,616,559,17,913,916,-3,"UA",1570,"N18119","JFK","LAX",335,2475,5,59,2013-01-03 05:00:00
"200",2013,1,3,656,700,-4,959,1034,-35,"DL",763,"N624AG","JFK","LAX",319,2475,7,0,2013-01-03 07:00:00
"201",2013,1,3,658,700,-2,938,1025,-47,"VX",399,"N638VA","JFK","LAX",316,2475,7,0,2013-01-03 07:00:00
"202",2013,1,3,700,700,0,851,836,15,"UA",1162,"N76269","EWR","ORD",126,719,7,0,2013-01-03 07:00:00
"203",2013,1,3,701,700,1,937,1014,-37,"B6",671,"N624JB","JFK","LAX",313,2475,7,0,2013-01-03 07:00:00
"204",2013,1,3,704,705,-1,946,1018,-32,"UA",604,"N573UA","EWR","LAX",307,2454,7,5,2013-01-03 07:00:00
